Vendor,GRAPHTEC Corporation
Model,"GL840"
Version,"Ver1.23"
MaxChannel,20
GSStartCH,20
WLStartCH,20
WLUnit,OFF,OFF,OFF,OFF,OFF
MaxLogicChannel,0
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,1s
Total Data Points,61083              
Trigger,0                  
Start time,2023-02-23,17:15:16
End time,2023-02-24,10:13:20
Trigger time,2023-02-23,17:15:17
AMP settings
CH,SignalName,Amp,Input,Range,Temperature Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH16," CH16",M,DC,1-5V,,Off,+5.000,+1.000, V,5,23,30,1
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line
Data
Number,Date&Time,ms,CH16,Alarm1-10,Alarm11-20,AlarmOut
NO.,Time,ms," V","A1234567890","A1234567890","AO1234/WLAO12345"
1,2023-02-23 17:15:17,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
2,2023-02-23 17:15:18,0,+4.750,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
3,2023-02-23 17:15:19,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
4,2023-02-23 17:15:20,0,+4.750,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
5,2023-02-23 17:15:21,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
6,2023-02-23 17:15:22,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
7,2023-02-23 17:15:23,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
8,2023-02-23 17:15:24,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
9,2023-02-23 17:15:25,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
10,2023-02-23 17:15:26,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
11,2023-02-23 17:15:27,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
12,2023-02-23 17:15:28,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
13,2023-02-23 17:15:29,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
14,2023-02-23 17:15:30,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
15,2023-02-23 17:15:31,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
16,2023-02-23 17:15:32,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
17,2023-02-23 17:15:33,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
18,2023-02-23 17:15:34,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
19,2023-02-23 17:15:35,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
20,2023-02-23 17:15:36,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
21,2023-02-23 17:15:37,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
22,2023-02-23 17:15:38,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
23,2023-02-23 17:15:39,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
24,2023-02-23 17:15:40,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
25,2023-02-23 17:15:41,0,+4.744,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
26,2023-02-23 17:15:42,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
27,2023-02-23 17:15:43,0,+4.745,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
28,2023-02-23 17:15:44,0,+4.746,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
29,2023-02-23 17:15:45,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
30,2023-02-23 17:15:46,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
31,2023-02-23 17:15:47,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
32,2023-02-23 17:15:48,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
33,2023-02-23 17:15:49,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
34,2023-02-23 17:15:50,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
35,2023-02-23 17:15:51,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
36,2023-02-23 17:15:52,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
37,2023-02-23 17:15:53,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
38,2023-02-23 17:15:54,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
39,2023-02-23 17:15:55,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
40,2023-02-23 17:15:56,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
41,2023-02-23 17:15:57,0,+4.750,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
42,2023-02-23 17:15:58,0,+4.745,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
43,2023-02-23 17:15:59,0,+4.745,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
44,2023-02-23 17:16:00,0,+4.747,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
45,2023-02-23 17:16:01,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
46,2023-02-23 17:16:02,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
47,2023-02-23 17:16:03,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
48,2023-02-23 17:16:04,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
49,2023-02-23 17:16:05,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
50,2023-02-23 17:16:06,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
51,2023-02-23 17:16:07,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
52,2023-02-23 17:16:08,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
53,2023-02-23 17:16:09,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
54,2023-02-23 17:16:10,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
55,2023-02-23 17:16:11,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
56,2023-02-23 17:16:12,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
57,2023-02-23 17:16:13,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
58,2023-02-23 17:16:14,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
59,2023-02-23 17:16:15,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
60,2023-02-23 17:16:16,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
61,2023-02-23 17:16:17,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
62,2023-02-23 17:16:18,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
63,2023-02-23 17:16:19,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
64,2023-02-23 17:16:20,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
65,2023-02-23 17:16:21,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
66,2023-02-23 17:16:22,0,+4.748,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
67,2023-02-23 17:16:23,0,+4.745,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
68,2023-02-23 17:16:24,0,+4.746,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
69,2023-02-23 17:16:25,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
70,2023-02-23 17:16:26,0,+4.744,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
71,2023-02-23 17:16:27,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
72,2023-02-23 17:16:28,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
73,2023-02-23 17:16:29,0,+4.747,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
74,2023-02-23 17:16:30,0,+4.746,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
75,2023-02-23 17:16:31,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
76,2023-02-23 17:16:32,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
77,2023-02-23 17:16:33,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
78,2023-02-23 17:16:34,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
79,2023-02-23 17:16:35,0,+4.744,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
80,2023-02-23 17:16:36,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
81,2023-02-23 17:16:37,0,+4.743,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
82,2023-02-23 17:16:38,0,+4.749,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
