"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	"hPa"	""	""	""	""	""
"02/14/2023 10:51'52"	"44971.4526851852"	"  25.2000"	"  21.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:52'02"	"44971.4528009259"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:52'12"	"44971.4529166667"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:52'22"	"44971.4530324074"	"  25.2000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:52'32"	"44971.4531481481"	"  25.2000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:52'42"	"44971.4532638889"	"  25.2000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:52'52"	"44971.4533796296"	"  25.2000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:53'02"	"44971.4534953704"	"  25.2000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:53'12"	"44971.4536111111"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:53'22"	"44971.4537268519"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:53'32"	"44971.4538425926"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:53'42"	"44971.4539583333"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:53'52"	"44971.4540740741"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:54'02"	"44971.4541898148"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:54'12"	"44971.4543055556"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:54'22"	"44971.4544212963"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:54'32"	"44971.4545370370"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:54'42"	"44971.4546527778"	"  25.2000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:54'52"	"44971.4547685185"	"  25.2000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:55'02"	"44971.4548842593"	"  25.2000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:55'12"	"44971.4550000000"	"  25.3000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:55'22"	"44971.4551157407"	"  25.3000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:55'32"	"44971.4552314815"	"  25.3000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:55'42"	"44971.4553472222"	"  25.3000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:55'52"	"44971.4554629630"	"  25.3000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:56'02"	"44971.4555787037"	"  25.3000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:56'12"	"44971.4556944444"	"  25.3000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:56'22"	"44971.4558101852"	"  25.3000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:56'32"	"44971.4559259259"	"  25.3000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:56'42"	"44971.4560416667"	"  25.3000"	"  22.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:56'52"	"44971.4561574074"	"  25.3000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:57'02"	"44971.4562731481"	"  25.3000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:57'12"	"44971.4563888889"	"  25.3000"	"  21.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 10:57'22"	"44971.4565046296"	"  25.4000"	"  21.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 10:57'32"	"44971.4566203704"	"  25.4000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:57'42"	"44971.4567361111"	"  25.4000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:57'52"	"44971.4568518519"	"  25.4000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:58'02"	"44971.4569675926"	"  25.4000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:58'12"	"44971.4570833333"	"  25.4000"	"  21.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:58'22"	"44971.4571990741"	"  25.4000"	"  21.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 10:58'32"	"44971.4573148148"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:58'42"	"44971.4574305556"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:58'52"	"44971.4575462963"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:59'02"	"44971.4576620370"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:59'12"	"44971.4577777778"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:59'22"	"44971.4578935185"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:59'32"	"44971.4580092593"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
