"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	"hPa"	""	""	""	""	""
"02/23/2023 13:53'02"	"44980.5784953704"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:53'12"	"44980.5786111111"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:53'22"	"44980.5787268519"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:53'32"	"44980.5788425926"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:53'42"	"44980.5789583333"	"  23.2000"	"  71.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 13:53'52"	"44980.5790740741"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:54'02"	"44980.5791898148"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:54'12"	"44980.5793055556"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:54'22"	"44980.5794212963"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:54'32"	"44980.5795370370"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:54'42"	"44980.5796527778"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:54'52"	"44980.5797685185"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:55'02"	"44980.5798842593"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:55'12"	"44980.5800000000"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:55'22"	"44980.5801157407"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:55'32"	"44980.5802314815"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:55'42"	"44980.5803472222"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:55'52"	"44980.5804629630"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:56'02"	"44980.5805787037"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:56'12"	"44980.5806944444"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:56'22"	"44980.5808101852"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:56'32"	"44980.5809259259"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:56'42"	"44980.5810416667"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:56'52"	"44980.5811574074"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:57'02"	"44980.5812731481"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:57'12"	"44980.5813888889"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:57'22"	"44980.5815046296"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:57'32"	"44980.5816203704"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:57'42"	"44980.5817361111"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:57'52"	"44980.5818518519"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:58'02"	"44980.5819675926"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:58'12"	"44980.5820833333"	"  23.2000"	"  71.0000"	"  1017.1000"	""	""	""	""	""	
"02/23/2023 13:58'22"	"44980.5821990741"	"  23.2000"	"  71.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 13:58'32"	"44980.5823148148"	"  23.2000"	"  71.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 13:58'42"	"44980.5824305556"	"  23.2000"	"  71.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 13:58'52"	"44980.5825462963"	"  23.2000"	"  71.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 13:59'02"	"44980.5826620370"	"  23.2000"	"  71.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 13:59'12"	"44980.5827777778"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 13:59'22"	"44980.5828935185"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 13:59'32"	"44980.5830092593"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 13:59'42"	"44980.5831250000"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 13:59'52"	"44980.5832407407"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 14:00'02"	"44980.5833564815"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 14:00'12"	"44980.5834722222"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 14:00'22"	"44980.5835879630"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 14:00'32"	"44980.5837037037"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 14:00'42"	"44980.5838194444"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 14:00'52"	"44980.5839351852"	"  23.2000"	"  72.0000"	"  1017.0000"	""	""	""	""	""	
"02/23/2023 14:01'02"	"44980.5840509259"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:01'12"	"44980.5841666667"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:01'22"	"44980.5842824074"	"  23.2000"	"  72.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:01'32"	"44980.5843981481"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:01'42"	"44980.5845138889"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:01'52"	"44980.5846296296"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:02'02"	"44980.5847453704"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:02'12"	"44980.5848611111"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:02'22"	"44980.5849768519"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:02'32"	"44980.5850925926"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:02'42"	"44980.5852083333"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:02'52"	"44980.5853240741"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:03'02"	"44980.5854398148"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:03'12"	"44980.5855555556"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:03'22"	"44980.5856712963"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:03'32"	"44980.5857870370"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:03'42"	"44980.5859027778"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:03'52"	"44980.5860185185"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:04'02"	"44980.5861342593"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:04'12"	"44980.5862500000"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:04'22"	"44980.5863657407"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:04'32"	"44980.5864814815"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:04'42"	"44980.5865972222"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:04'52"	"44980.5867129630"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:05'02"	"44980.5868287037"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:05'12"	"44980.5869444444"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:05'22"	"44980.5870601852"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:05'32"	"44980.5871759259"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:05'42"	"44980.5872916667"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:05'52"	"44980.5874074074"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:06'02"	"44980.5875231481"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:06'12"	"44980.5876388889"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:06'22"	"44980.5877546296"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:06'32"	"44980.5878703704"	"  23.2000"	"  72.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:06'42"	"44980.5879861111"	"  23.2000"	"  72.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:06'52"	"44980.5881018519"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:07'02"	"44980.5882175926"	"  23.2000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:07'12"	"44980.5883333333"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:07'22"	"44980.5884490741"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:07'32"	"44980.5885648148"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:07'42"	"44980.5886805556"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:07'52"	"44980.5887962963"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:08'02"	"44980.5889120370"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:08'12"	"44980.5890277778"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:08'22"	"44980.5891435185"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:08'32"	"44980.5892592593"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:08'42"	"44980.5893750000"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:08'52"	"44980.5894907407"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:09'02"	"44980.5896064815"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:09'12"	"44980.5897222222"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:09'22"	"44980.5898379630"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:09'32"	"44980.5899537037"	"  23.1000"	"  71.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:09'42"	"44980.5900694444"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:09'52"	"44980.5901851852"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:10'02"	"44980.5903009259"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:10'12"	"44980.5904166667"	"  23.1000"	"  72.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:10'22"	"44980.5905324074"	"  23.1000"	"  72.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:10'32"	"44980.5906481481"	"  23.1000"	"  72.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:10'42"	"44980.5907638889"	"  23.1000"	"  72.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:10'52"	"44980.5908796296"	"  23.1000"	"  72.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:11'02"	"44980.5909953704"	"  23.1000"	"  71.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:11'12"	"44980.5911111111"	"  23.0000"	"  72.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:11'22"	"44980.5912268519"	"  23.0000"	"  71.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:11'32"	"44980.5913425926"	"  23.0000"	"  71.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:11'42"	"44980.5914583333"	"  23.0000"	"  71.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:11'52"	"44980.5915740741"	"  23.0000"	"  70.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:12'02"	"44980.5916898148"	"  23.0000"	"  70.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:12'12"	"44980.5918055556"	"  23.0000"	"  70.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:12'22"	"44980.5919212963"	"  23.0000"	"  70.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:12'32"	"44980.5920370370"	"  23.0000"	"  70.0000"	"  1016.8000"	""	""	""	""	""	
