"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	"hPa"	""	""	""	""	""
"02/23/2023 14:12'42"	"44980.5921527778"	"  23.0000"	"  70.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:12'52"	"44980.5922685185"	"  23.0000"	"  70.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:13'02"	"44980.5923842593"	"  23.0000"	"  70.0000"	"  1016.9000"	""	""	""	""	""	
"02/23/2023 14:13'12"	"44980.5925000000"	"  23.0000"	"  70.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:13'22"	"44980.5926157407"	"  23.0000"	"  69.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:13'32"	"44980.5927314815"	"  23.0000"	"  69.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:13'42"	"44980.5928472222"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:13'52"	"44980.5929629630"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:14'02"	"44980.5930787037"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:14'12"	"44980.5931944444"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:14'22"	"44980.5933101852"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:14'32"	"44980.5934259259"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:14'42"	"44980.5935416667"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:14'52"	"44980.5936574074"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:15'02"	"44980.5937731481"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:15'12"	"44980.5938888889"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:15'22"	"44980.5940046296"	"  23.0000"	"  69.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:15'32"	"44980.5941203704"	"  23.0000"	"  69.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:15'42"	"44980.5942361111"	"  23.0000"	"  69.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:15'52"	"44980.5943518519"	"  23.0000"	"  69.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:16'02"	"44980.5944675926"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:16'12"	"44980.5945833333"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:16'22"	"44980.5946990741"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:16'32"	"44980.5948148148"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:16'42"	"44980.5949305556"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:16'52"	"44980.5950462963"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:17'02"	"44980.5951620370"	"  23.0000"	"  69.0000"	"  1016.8000"	""	""	""	""	""	
"02/23/2023 14:17'12"	"44980.5952777778"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:17'22"	"44980.5953935185"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:17'32"	"44980.5955092593"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:17'42"	"44980.5956250000"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:17'52"	"44980.5957407407"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:18'02"	"44980.5958564815"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:18'12"	"44980.5959722222"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:18'22"	"44980.5960879630"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:18'32"	"44980.5962037037"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:18'42"	"44980.5963194444"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:18'52"	"44980.5964351852"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:19'02"	"44980.5965509259"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:19'12"	"44980.5966666667"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:19'22"	"44980.5967824074"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:19'32"	"44980.5968981481"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:19'42"	"44980.5970138889"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:19'52"	"44980.5971296296"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:20'02"	"44980.5972453704"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:20'12"	"44980.5973611111"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:20'22"	"44980.5974768519"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:20'32"	"44980.5975925926"	"  23.0000"	"  70.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:20'42"	"44980.5977083333"	"  23.0000"	"  70.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:20'52"	"44980.5978240741"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:21'02"	"44980.5979398148"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:21'12"	"44980.5980555556"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:21'22"	"44980.5981712963"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:21'32"	"44980.5982870370"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:21'42"	"44980.5984027778"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:21'52"	"44980.5985185185"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:22'02"	"44980.5986342593"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:22'12"	"44980.5987500000"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:22'22"	"44980.5988657407"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:22'32"	"44980.5989814815"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:22'42"	"44980.5990972222"	"  23.0000"	"  69.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:22'52"	"44980.5992129630"	"  23.0000"	"  70.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:23'02"	"44980.5993287037"	"  23.0000"	"  70.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:23'12"	"44980.5994444444"	"  23.0000"	"  70.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:23'22"	"44980.5995601852"	"  23.0000"	"  70.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:23'32"	"44980.5996759259"	"  23.0000"	"  70.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:23'42"	"44980.5997916667"	"  23.0000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:23'52"	"44980.5999074074"	"  23.0000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:24'02"	"44980.6000231481"	"  23.0000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:24'12"	"44980.6001388889"	"  23.0000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:24'22"	"44980.6002546296"	"  23.0000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:24'32"	"44980.6003703704"	"  23.0000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:24'42"	"44980.6004861111"	"  23.0000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:24'52"	"44980.6006018519"	"  23.0000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:25'02"	"44980.6007175926"	"  23.0000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:25'12"	"44980.6008333333"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:25'22"	"44980.6009490741"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:25'32"	"44980.6010648148"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:25'42"	"44980.6011805556"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:25'52"	"44980.6012962963"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:26'02"	"44980.6014120370"	"  23.1000"	"  70.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:26'12"	"44980.6015277778"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:26'22"	"44980.6016435185"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:26'32"	"44980.6017592593"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:26'42"	"44980.6018750000"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:26'52"	"44980.6019907407"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:27'02"	"44980.6021064815"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:27'12"	"44980.6022222222"	"  23.1000"	"  70.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:27'22"	"44980.6023379630"	"  23.1000"	"  70.0000"	"  1016.7000"	""	""	""	""	""	
"02/23/2023 14:27'32"	"44980.6024537037"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:27'42"	"44980.6025694444"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:27'52"	"44980.6026851852"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:28'02"	"44980.6028009259"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:28'12"	"44980.6029166667"	"  23.1000"	"  70.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:28'22"	"44980.6030324074"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:28'32"	"44980.6031481481"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:28'42"	"44980.6032638889"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:28'52"	"44980.6033796296"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:29'02"	"44980.6034953704"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:29'12"	"44980.6036111111"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:29'22"	"44980.6037268519"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:29'32"	"44980.6038425926"	"  23.1000"	"  69.0000"	"  1016.5000"	""	""	""	""	""	
"02/23/2023 14:29'42"	"44980.6039583333"	"  23.1000"	"  69.0000"	"  1016.5000"	""	""	""	""	""	
"02/23/2023 14:29'52"	"44980.6040740741"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:30'02"	"44980.6041898148"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:30'12"	"44980.6043055556"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
"02/23/2023 14:30'22"	"44980.6044212963"	"  23.1000"	"  69.0000"	"  1016.6000"	""	""	""	""	""	
